affiliation,latitude,longitude
University Of Bisha,19.9942,42.6054
University of Alberta,53.52682,-113.5244937
University of Auckland,-36.8660955,174.7737331
University of Belgrade,44.8179654,20.4507765
University of Bihac,44.8236,15.8597
"University of California, Los Angeles",34.0695,-118.4452
"University of California, Riverside",33.9702033,-117.3320289
University of Cambridge,52.1890916,0.1212977
University of Chicago,33.9695391,-117.3485057
University of Chinese Academy of Sciences,39.9077,116.2441
"University of Chinese Academy of Sciences Beijing, China",39.907697,116.2440577
"University of Chinese Academy of Sciences, Beijing, China",39.907697,116.2440577
University of Delaware,39.6802837,-75.7530984
University of Dhaka,23.7338,90.3956
University of Electronic Science and Technology of China,30.75,103.9341
University of Florida,29.6411884,-82.3562296
University of Georgia,33.9481,-83.3773
University of Houston,29.7207902,-95.3440627
University of Iowa,41.6311024,-91.540752
University of Kentucky,38.0266291,-84.5047222
University of Maryland College Park,38.9904124,-76.9438586
"University of Maryland, College Park",38.9904,-76.9438
University of Nebraska-Lincoln,40.8305567,-96.6697373
University of North Carolina at Charlotte,35.3037,-80.7324
"University of Oulu, Oulu 90570, Finland",65.0599,25.466
"University of Peloponnese
Tripoli",37.5271,22.3717
"University of Peloponnese, Tripoli",37.5271,22.3717
University of Science and Technology Beijing,39.9889,116.3574
University of Science and Technology of China,31.8403891,117.2501941
University of Shanghai for Science and Technology,31.2950161,121.5506739
University of South Florida,28.0599999,-82.4138362
University of Southampton,50.9338,-1.3958
University of Southern California,34.021869,-118.2858579
University of Texas at Arlington,32.7284,-97.112
"University of Texas, Arlington",32.7284713,-97.1120213
University of Ulster,41.7385034,-74.0857893
University of Utah,40.7628137,-111.8368719
University of Washington,47.6553,-122.3035
"University of the Peloponnese, Tripoli, Greece",37.5271168,22.3716537
"University of Strasbourg, Strasbourg, France",48.5817042,7.7646555
"Université Côte d'Azur, CNRS, I3S, Sophia Antipolis, France",43.7170132,7.2675774
Université de Strasbourg,48.5820139,7.7667715
V.M. Glushkov Institute of Cybernetics,50.368,30.4627
VIZJA University,52.2504669,20.9785794
Washington State University,46.7337716,-117.1498035
"Wuhan University, Wuhan",30.5373773,114.361535
Xinjiang Medical University,43.8368402,87.5753263
Xian Jiaotong University,34.2476753,108.9789725
Xian University of Posts and Telecommunications,32.1152716,118.9259566
Zhejiang Gongshang University,30.2841,120.1551
Zhejiang University,30.3073,120.0883
Zhejiang University of Technology,30.5539441,120.0318536
Zhengzhou University,34.8214567,113.5297412
Zhengzhou University of Light Industry,34.7593,113.6609
